Date,AAPL,QQQ,GLD,TLT,SPY
2018-12-31,38.39591979980469,151.7650604248047,121.25,116.05675506591797,239.2103729248047
2019-01-02,38.439735412597656,152.37503051757812,121.33000183105469,116.66803741455078,239.459228515625
2019-01-03,34.6108512878418,147.3968963623047,122.43000030517578,117.99566650390625,233.74505615234375
2019-01-04,36.08836364746094,153.7032012939453,121.44000244140625,116.62982177734375,241.57449340820312
2019-01-07,36.00804138183594,155.53311157226562,121.86000061035156,116.2859878540039,243.47926330566406
2019-01-08,36.69446563720703,156.9399871826172,121.52999877929688,115.98033905029297,245.766845703125
2019-01-09,37.31760025024414,158.21897888183594,122.30999755859375,115.79888916015625,246.91542053222656
2019-01-10,37.43687438964844,158.67152404785156,121.58999633789062,115.05387115478516,247.78640747070312
2019-01-11,37.06931686401367,158.09104919433594,121.80000305175781,115.5027847290039,247.8821258544922
2019-01-14,36.511905670166016,156.6940460205078,122.08999633789062,115.07298278808594,246.36984252929688
2019-01-15,37.259185791015625,159.75372314453125,121.87999725341797,114.65274047851562,249.19345092773438
2019-01-16,37.71436309814453,159.72421264648438,122.2699966430664,114.76734161376953,249.7964324951172
2019-01-17,37.93830108642578,160.9835205078125,122.11000061035156,114.79601287841797,251.6916046142578
2019-01-18,38.171974182128906,162.5773162841797,121.0199966430664,114.19426727294922,255.04161071777344
2019-01-22,37.31517028808594,159.3208465576172,121.44999694824219,114.96794128417969,251.59585571289062
2019-01-23,37.46607971191406,159.52743530273438,121.27999877929688,114.920166015625,252.122314453125
2019-01-24,37.16912078857422,160.56045532226562,121.08999633789062,115.6747055053711,252.2562713623047
2019-01-25,38.40078353881836,162.4789276123047,122.86000061035156,115.12073516845703,254.39076232910156
2019-01-28,38.04541015625,160.471923828125,123.29000091552734,115.00611114501953,252.45733642578125
2019-01-29,37.65107727050781,158.95681762695312,123.9800033569336,115.58873748779297,252.122314453125
2019-01-30,40.223941802978516,163.00035095214844,124.69000244140625,115.5027847290039,256.11358642578125
2019-01-31,40.51361083984375,165.4402618408203,124.75,116.49612426757812,258.3629150390625
2019-02-01,40.53308868408203,164.74171447753906,124.5,115.79249572753906,258.4873352050781
2019-02-04,41.68442153930664,166.7880859375,123.95999908447266,115.27557373046875,260.3058776855469
2019-02-05,42.39762496948242,168.26382446289062,124.27999877929688,115.80209350585938,261.3970642089844
2019-02-06,42.4122314453125,167.76206970214844,123.44000244140625,115.85953521728516,261.0524597167969
2019-02-07,41.60896682739258,165.50909423828125,123.73999786376953,116.6253433227539,258.56396484375
2019-02-08,41.657859802246094,165.83377075195312,124.20999908447266,117.12311553955078,258.8797607421875
2019-02-11,41.41828918457031,165.67636108398438,123.5999984741211,116.66364288330078,259.0233154296875
2019-02-12,41.77519989013672,168.1260986328125,123.86000061035156,116.36687469482422,262.354248046875
2019-02-13,41.601627349853516,168.24415588378906,123.37000274658203,115.9265365600586,263.2060546875
2019-02-14,41.75320053100586,168.45074462890625,124.05999755859375,116.58706665039062,262.6221923828125
2019-02-15,41.66029739379883,169.1591033935547,124.80000305175781,116.76895141601562,265.4840393066406
2019-02-19,41.78497314453125,169.49362182617188,126.69999694824219,117.06568145751953,265.9435119628906
2019-02-20,42.05387878417969,169.46409606933594,126.4800033569336,116.73065185546875,266.4795227050781
2019-02-21,41.81675338745117,168.84426879882812,125.05000305175781,115.6872329711914,265.531982421875
2019-02-22,42.28367233276367,170.09375,125.5,116.3764419555664,267.1782531738281
2019-02-25,42.5916862487793,170.7135467529297,125.37000274658203,116.0318374633789,267.5419616699219
2019-02-26,42.616127014160156,170.890625,125.58000183105469,116.60618591308594,267.3505554199219
2019-02-27,42.74813461303711,170.7824249267578,124.69000244140625,115.28516387939453,267.235595703125
2019-02-28,42.327674865722656,170.38890075683594,123.98999786376953,114.89266204833984,266.73785400390625
2019-03-01,42.772586822509766,171.56948852539062,121.87999725341797,113.8307113647461,268.4034118652344
2019-03-04,42.987701416015625,171.59901428222656,121.55999755859375,114.72286987304688,267.4270935058594
2019-03-05,42.90947341918945,171.72691345214844,121.72000122070312,114.96269226074219,267.0633544921875
2019-03-06,42.66257858276367,170.7529296875,121.61000061035156,115.38480377197266,265.4457702636719
2019-03-07,42.16877365112305,168.6573486328125,121.51000213623047,116.133056640625,263.2252197265625
2019-03-08,42.26900100708008,168.40158081054688,122.83999633789062,116.62228393554688,262.69873046875
2019-03-11,43.733299255371094,171.9040069580078,122.23999786376953,116.2769546508789,266.5082092285156
2019-03-12,44.22465515136719,172.84848022460938,122.9800033569336,117.09233856201172,267.51324462890625
2019-03-13,44.42021942138672,174.14710998535156,123.83999633789062,116.8717041015625,269.28399658203125
2019-03-14,44.91402053833008,173.85195922851562,122.41000366210938,116.02751922607422,269.11163330078125
2019-03-15,45.49826431274414,175.46542358398438,122.97000122070312,116.79496765136719,270.4412841796875
2019-03-18,45.962745666503906,175.8833465576172,123.04000091552734,116.72782135009766,271.4218444824219
2019-03-19,45.59850311279297,176.47471618652344,123.37999725341797,116.46882629394531,271.4891357421875
2019-03-20,45.99696731567383,177.17449951171875,124.18000030517578,117.68711853027344,270.67193603515625
2019-03-21,47.6910514831543,179.944091796875,123.68000030517578,117.94613647460938,273.7291564941406
2019-03-22,46.70344543457031,175.9917449951172,123.97000122070312,119.77838897705078,268.4608459472656
2019-03-25,46.13874435424805,175.65664672851562,124.91999816894531,119.97026824951172,268.2589416503906
2019-03-26,45.66205978393555,176.47471618652344,124.30000305175781,119.88391876220703,270.25860595703125
